Hours,HPHtgLd_W,HPClgLd_W
0,0,0
16.51843598,139565,80526.73716
199.6946639,139565,80526.73716
199.882636,139565,80526.73716
210.117364,139565,80526.73716
210.3053361,139565,80526.73716
465.9314057,139565,80526.73716
467.7597304,139565,80526.73716
470.2402696,139565,80526.73716
472.0685943,139565,219744.9
731.0952201,139565,219744.9
731.5555185,139565,219744.9
731.7314594,139565,219744.9
734.2685406,139565,219744.9
734.4444815,139565,219744.9
734.9047799,139565,219744.9
744,35154.29442,80526.73716
872.5141009,35154.29442,80526.73716
873.7798344,21014.61716,80526.73716
880.2201656,101721.8,80526.73716
881.4858991,101721.8,80526.73716
969.9977736,101721.8,89849.96919
971.0125052,101721.8,89849.96919
972.3244226,101721.8,89849.96919
973.6755774,101721.8,89849.96919
974.9874948,101721.8,89849.96919
976.0022264,101721.8,255680.2
1114.153253,101721.8,255680.2
1119.846747,101721.8,255680.2
1283.122776,101721.8,255680.2
1286.877224,101721.8,255680.2
1331.746832,101721.8,255680.2
1334.253168,101721.8,255680.2
1379.785888,101721.8,255680.2
1382.214112,101721.8,255680.2
1416,21014.61716,89849.96919
1431.515897,21014.61716,89849.96919
1431.831535,21014.61716,89849.96919
1432.715994,21014.61716,89849.96919
1545.211408,10248.26853,89849.96919
1552.788592,64990.1,89849.96919
1857.033439,64990.1,89849.96919
1864.966561,64990.1,89849.96919
1954.276972,64990.1,89849.96919
1959.723028,64990.1,89849.96919
2145.756029,64990.1,107992.433
2147.49161,64990.1,107992.433
2147.729165,64990.1,107992.433
2150.270835,64990.1,107992.433
2150.50839,64990.1,107992.433
2152.243971,64990.1,306645.8
2160,10248.26853,107992.433
2175.554479,10248.26853,107992.433
2219.368004,10248.26853,107992.433
2219.765279,10248.26853,107992.433
2222.234721,10248.26853,107992.433
2222.631996,10248.26853,107992.433
2385.945753,10248.26853,107992.433
2386.2624,3422.050082,107992.433
2391.7376,38346.1,107992.433
2392.054247,38346.1,107992.433
2433.448548,38346.1,107992.433
2440.551452,38346.1,107992.433
2817.910402,38346.1,119694.4927
2819.404199,38346.1,119694.4927
2819.512189,38346.1,119694.4927
2822.487811,38346.1,119694.4927
2822.595801,38346.1,119694.4927
2824.089598,38346.1,326779.4
2880,3422.050082,119694.4927
2895.469065,3422.050082,119694.4927
2895.57913,3422.050082,119694.4927
2896.280323,3422.050082,119694.4927
2896.686616,3422.050082,119694.4927
2897.18172,3422.050082,119694.4927
3297.934621,3422.050082,148939.9286
3298.552662,3422.050082,148939.9286
3298.644014,3422.050082,148939.9286
3303.355986,3422.050082,148939.9286
3303.447338,3422.050082,148939.9286
3304.065379,3422.050082,386642.7
3583.85591,1504.998041,386642.7
3594.14409,24251.3,386642.7
3624,1504.998041,148939.9286
3639.581959,1504.998041,148939.9286
3639.869821,1504.998041,148939.9286
3640.840546,1504.998041,148939.9286
3682.746967,1504.998041,148939.9286
3687.253033,1504.998041,148939.9286
3707.164898,1504.998041,148939.9286
3710.835102,1504.998041,148939.9286
3731.166839,395.1659292,148939.9286
3734.833161,9744.9,148939.9286
4210.73847,9744.9,148939.9286
4215.26153,9744.9,148939.9286
4281.78001,9744.9,167716.3972
4288.21999,9744.9,391818.6
4306.078847,9744.9,391818.6
4311.921153,9744.9,391818.6
4344,395.1659292,167716.3972
4359.566584,395.1659292,167716.3972
4379.196559,395.1659292,167716.3972
4379.205371,395.1659292,167716.3972
4382.794629,395.1659292,167716.3972
4382.803441,395.1659292,167716.3972
4403.349029,395.1659292,167716.3972
4403.761881,395.1659292,167716.3972
4406.238119,395.1659292,167716.3972
