Hours,q_rej
0,0
199.6514333,0
199.882636,0
202.2793281,0
207.7206719,0
210.117364,0
210.3485667,0
465.8927245,0
467.7916114,0
470.2083886,0
472.1072755,0
731.0952201,0
731.5555185,0
731.7314594,-7321.699118
734.2685406,-14129.15294
734.4444815,-14129.15294
734.9047799,-14129.15294
744,-7321.699118
872.5000588,-7321.699118
874.5728465,-7321.699118
879.4271535,-7321.699118
881.4999412,-7321.699118
969.8823904,-7321.699118
971.0090627,-7321.699118
974.9909373,-7321.699118
976.1176096,-7321.699118
1114.152877,-7321.699118
1119.847123,-7321.699118
1283.122776,-7321.699118
1286.877224,-7321.699118
1331.746832,-7520.005175
1334.253168,-14296.8
1379.785888,-14296.8
1382.214112,-14296.8
1416,-7520.005175
1431.515897,-14293.41177
1431.831535,-14293.41177
1432.715994,-14293.41177
1546.891513,-14293.41177
1551.108487,-14293.41177
1857.023648,-14293.41177
1864.976352,-14293.41177
1954.275037,-14293.41177
1959.724963,-14293.41177
2145.698457,-14293.41177
2147.486302,-14293.41177
2147.972852,-14293.41177
2150.027148,-14293.41177
2150.513698,-14293.41177
2152.301543,-14293.41177
2160,-7489.399461
2175.554479,-13989.24706
2219.368004,-13989.24706
2219.765279,-13989.24706
2222.234721,-13989.24706
2222.631996,-13989.24706
2385.935549,-13989.24706
2387.84736,-13989.24706
2390.15264,-13989.24706
2392.064451,-13989.24706
2433.416027,-13989.24706
2440.583973,-13989.24706
2817.887923,-13989.24706
2819.401145,-13989.24706
2819.511096,-13989.24706
2822.488904,-13989.24706
2822.598855,-13989.24706
2824.112077,-13989.24706
2880,-7224.722785
2890.905124,-7224.722785
2891.153749,-7224.722785
2892.5,-7224.722785
2893.5,-7224.722785
2894.846251,-7224.722785
2895.094876,-7224.722785
2895.469065,-7224.722785
2895.57913,-13301.92941
2896.280323,-13301.92941
3297.923052,-13301.92941
3298.549419,-13301.92941
3298.637483,-13301.92941
3303.362517,-13301.92941
3303.450581,-13301.92941
3304.076948,-13301.92941
3624,-6796.29853
3639.581959,-12377.78824
3639.869821,-12377.78824
3640.840546,-12377.78824
3682.926763,-12377.78824
3687.073237,-12377.78824
3707.200354,-12377.78824
3710.799646,-12377.78824
4210.734595,-12377.78824
4215.265405,-12377.78824
4281.776927,-12377.78824
4288.223073,-12377.78824
4306.07682,-12377.78824
4311.92318,-12377.78824
4344,-6317.838901
4359.566584,-11516.04706
4379.240982,-11516.04706
4379.570181,-11516.04706
4382.429819,-11516.04706
4382.759018,-11516.04706
4403.349029,-11516.04706
4403.761881,-11516.04706
4406.238119,-11516.04706
4406.650971,-11516.04706
4736.752645,-11516.04706
4745.247355,-11516.04706
4762.530789,-11516.04706
4767.469211,-11516.04706
4785.589523,-11516.04706
4792.410477,-11516.04706
5088,-5920.757085
5103.524511,-10900.16471
5103.853749,-10900.16471
5104.739979,-10900.16471
5532.499994,-10900.16471
5533.500006,-10900.16471
5673.850069,-10900.16471
5674.405975,-10900.16471
5674.455662,-10900.16471
5679.544338,-10900.16471
5679.594025,-10900.16471
5680.149931,-10900.16471
5832,-5708.126803
5963.471086,-5708.126803
5963.861151,-5708.126803
5966.138849,-5708.126803
5966.528914,-5708.126803
6009.603945,-5708.126803
6011.069207,-5708.126803
6014.930793,-5708.126803
6016.396055,-5708.126803
6227.475581,-5708.126803
6230.524419,-5708.126803
6515.097771,-5708.126803
6515.548155,-5708.126803
6518.451845,-5708.126803
6518.902229,-5708.126803
6539.735781,-5742.093957
6542.264219,-11023.2
6552,-5742.093957
6563.229482,-5742.093957
6566.770518,-5742.093957
6609.849091,-5742.093957
6616.150909,-5742.093957
6803.258955,-5742.093957
6806.741045,-5742.093957
6898.474322,-5742.093957
6903.525678,-5742.093957
6924.046996,-5742.093957
6925.953004,-5742.093957
7184.112358,-5742.093957
7193.887642,-5742.093957
7283.069808,-5742.093957
7283.545531,-5742.093957
7283.719498,-6012.23719
7286.280502,-11732.32941
7286.454469,-11732.32941
7286.930192,-11732.32941
7296,-6012.23719
7472.816004,-6012.23719
7481.183996,-6012.23719
7811.856742,-6012.23719
7814.143258,-6012.23719
7857.121752,-6012.23719
7859.322986,-6012.23719
7862.677014,-6012.23719
7864.878248,-6012.23719
7953.589936,-6012.23719
7960.410064,-6012.23719
8003.075989,-6012.23719
8003.539376,-6012.23719
8003.717538,-6442.600858
8006.282462,-12627.17647
8006.460624,-12627.17647
8006.924011,-12627.17647
8016,-6442.600858
8193.406106,-6442.600858
8195.95118,-6442.600858
8198.04882,-6442.600858
8200.593894,-6442.600858
8598.781341,-6442.600858
8600.080312,-6442.600858
8601.224075,-6442.600858
8608.775925,-6442.600858
8609.919688,-6442.600858
8611.218659,-6442.600858
8699.070254,-6442.600858
8699.552166,-6442.600858
8702.447834,-6442.600858
8702.929746,-6442.600858
8747.720156,-6920.579977
8750.279844,-13517.22353
8760,-6920.579977
9504,-7344.912903
10176,-7545.280357
10920,-7512.40778
11640,-7248.722549
12384,-6818.850759
13104,-6339.570196
13848,-5940.059203
14592,-5725.744213
15312,-5760.639706
16056,-6031.926945
16776,-6464.632745
17520,-6943.275332
18264,-7344.912903
18936,-7545.280357
19680,-7512.40778
20400,-7248.722549
21144,-6818.850759
21864,-6339.570196
22608,-5940.059203
23352,-5725.744213
24072,-5760.639706
24816,-6031.926945
25536,-6464.632745
26280,-6943.275332
27024,-7344.912903
27696,-7545.280357
28440,-7512.40778
29160,-7248.722549
29904,-6818.850759
30624,-6339.570196
31368,-5940.059203
32112,-5725.744213
32832,-5760.639706
33576,-6031.926945
34296,-6464.632745
35040,-6943.275332
35784,-7344.912903
36456,-7545.280357
37200,-7512.40778
37920,-7248.722549
38664,-6818.850759
39384,-6339.570196
40128,-5940.059203
40872,-5725.744213
41592,-5760.639706
42336,-6031.926945
43056,-6464.632745
43800,-6943.275332
44544,-7344.912903
45216,-7545.280357
45960,-7512.40778
46680,-7248.722549
47424,-6818.850759
48144,-6339.570196
48888,-5940.059203
49632,-5725.744213
50352,-5760.639706
51096,-6031.926945
51816,-6464.632745
52560,-6943.275332
53304,-7344.912903
53976,-7545.280357
54720,-7512.40778
55440,-7248.722549
56184,-6818.850759
56904,-6339.570196
57648,-5940.059203
58392,-5725.744213
59112,-5760.639706
59856,-6031.926945
60576,-6464.632745
61320,-6943.275332
62064,-7344.912903
62736,-7545.280357
63480,-7512.40778
64200,-7248.722549
64944,-6818.850759
65664,-6339.570196
66408,-5940.059203
67152,-5725.744213
67872,-5760.639706
68616,-6031.926945
69336,-6464.632745
70080,-6943.275332
70824,-7344.912903
71496,-7545.280357
72240,-7512.40778
72960,-7248.722549
73704,-6818.850759
74424,-6339.570196
75168,-5940.059203
75912,-5725.744213
76632,-5760.639706
77376,-6031.926945
78096,-6464.632745
78840,-6943.275332
79584,-7344.912903
80256,-7545.280357
81000,-7512.40778
81720,-7248.722549
82464,-6818.850759
83184,-6339.570196
83928,-5940.059203
84672,-5725.744213
85392,-5760.639706
86136,-6031.926945
86856,-6464.632745
87600,-6943.275332
88344,-7344.912903
89016,-7545.280357
89760,-7512.40778
90480,-7248.722549
91224,-6818.850759
91944,-6339.570196
92688,-5940.059203
93432,-5725.744213
94152,-5760.639706
94896,-6031.926945
95616,-6464.632745
96360,-6943.275332
97104,-7344.912903
97776,-7545.280357
98520,-7512.40778
99240,-7248.722549
99984,-6818.850759
100704,-6339.570196
101448,-5940.059203
102192,-5725.744213
102912,-5760.639706
103656,-6031.926945
104376,-6464.632745
105120,-6943.275332
105864,-7344.912903
106536,-7545.280357
107280,-7512.40778
108000,-7248.722549
108744,-6818.850759
109464,-6339.570196
110208,-5940.059203
110952,-5725.744213
111672,-5760.639706
112416,-6031.926945
113136,-6464.632745
113880,-6943.275332
114624,-7344.912903
115296,-7545.280357
116040,-7512.40778
116760,-7248.722549
117504,-6818.850759
118224,-6339.570196
118968,-5940.059203
119712,-5725.744213
120432,-5760.639706
121176,-6031.926945
121896,-6464.632745
122640,-6943.275332
123384,-7344.912903
124056,-7545.280357
124800,-7512.40778
125520,-7248.722549
126264,-6818.850759
126984,-6339.570196
127728,-5940.059203
128472,-5725.744213
129192,-5760.639706
129936,-6031.926945
130656,-6464.632745
131400,-6943.275332
132144,-7344.912903
132816,-7545.280357
133560,-7512.40778
134280,-7248.722549
135024,-6818.850759
135744,-6339.570196
136488,-5940.059203
137232,-5725.744213
137952,-5760.639706
138696,-6031.926945
139416,-6464.632745
140160,-6943.275332
140904,-7344.912903
141576,-7545.280357
142320,-7512.40778
143040,-7248.722549
143784,-6818.850759
144504,-6339.570196
145248,-5940.059203
145992,-5725.744213
146712,-5760.639706
147456,-6031.926945
148176,-6464.632745
148920,-6943.275332
149664,-7344.912903
150336,-7545.280357
151080,-7512.40778
151800,-7248.722549
152544,-6818.850759
153264,-6339.570196
154008,-5940.059203
154752,-5725.744213
155472,-5760.639706
156216,-6031.926945
156936,-6464.632745
157680,-6943.275332
158424,-7344.912903
159096,-7545.280357
159840,-7512.40778
160560,-7248.722549
161304,-6818.850759
162024,-6339.570196
162768,-5940.059203
