Hours,q_rej
0,0
199.6514333,0
199.882636,0
202.2793281,0
207.7206719,0
210.117364,0
210.3485667,0
465.8927245,0
467.7916114,0
470.2083886,0
472.1072755,0
731.0952201,-17479.62462
731.5555185,-17479.62462
731.7314594,-17479.62462
734.2685406,-17479.62462
734.4444815,-17479.62462
734.9047799,-33233.78824
744,-17479.62462
872.5000588,-17479.62462
874.5728465,-17479.62462
879.4271535,-17479.62462
881.4999412,-17479.62462
969.8823904,-17479.62462
971.0090627,-17479.62462
974.9909373,-17479.62462
976.1176096,-17479.62462
1114.152877,-17479.62462
1119.847123,-17479.62462
1283.122776,-17907.14562
1286.877224,-33580.72941
1331.746832,-33580.72941
1334.253168,-33580.72941
1379.785888,-33580.72941
1382.214112,-33580.72941
1416,-17907.14562
1431.515897,-17907.14562
1431.831535,-17907.14562
1432.715994,-33574.58824
1546.891513,-33574.58824
1551.108487,-33574.58824
1857.023648,-33574.58824
1864.976352,-33574.58824
1954.275037,-33574.58824
1959.724963,-33574.58824
2145.698457,-33574.58824
2147.486302,-33574.58824
2147.972852,-33574.58824
2150.027148,-33574.58824
2150.513698,-33574.58824
2152.301543,-33574.58824
2160,-18071.1683
2175.554479,-18071.1683
2219.368004,-17258.32307
2219.765279,-17258.32307
2222.234721,-17258.32307
2222.631996,-32866.44706
2385.935549,-32866.44706
2387.84736,-32866.44706
2390.15264,-32866.44706
2392.064451,-32866.44706
2433.416027,-32866.44706
2440.583973,-32866.44706
2817.887923,-32866.44706
2819.401145,-32866.44706
2819.511096,-32866.44706
2822.488904,-32866.44706
2822.598855,-32866.44706
2824.112077,-32866.44706
2880,-17258.32307
2890.905124,-17258.32307
2891.153749,-17258.32307
2892.5,-17258.32307
2893.5,-17258.32307
2894.846251,-17258.32307
2895.094876,-17258.32307
2895.469065,-17258.32307
2895.57913,-17258.32307
2896.280323,-31506.07059
3297.923052,-31506.07059
3298.549419,-31506.07059
3298.637483,-31506.07059
3303.362517,-31506.07059
3303.450581,-31506.07059
3304.076948,-31506.07059
3624,-16485.05711
3639.581959,-16485.05711
3639.869821,-16485.05711
3640.840546,-29580.28235
3682.926763,-29580.28235
3687.073237,-29580.28235
3707.200354,-29580.28235
3710.799646,-29580.28235
4210.734595,-29580.28235
4215.265405,-29580.28235
4281.776927,-29580.28235
4288.223073,-29580.28235
4306.07682,-29580.28235
4311.92318,-29580.28235
4344,-15516.45945
4359.566584,-15516.45945
4379.240982,-15516.45945
4379.570181,-15516.45945
4382.429819,-15516.45945
4382.759018,-15516.45945
4403.349029,-14420.85014
4403.761881,-14420.85014
4406.238119,-14420.85014
4406.650971,-27675.74118
4736.752645,-27675.74118
4745.247355,-27675.74118
4762.530789,-27675.74118
4767.469211,-27675.74118
4785.589523,-27675.74118
4792.410477,-27675.74118
5088,-14420.85014
5103.524511,-14420.85014
5103.853749,-14420.85014
5104.739979,-26500.58824
5532.499994,-26500.58824
5533.500006,-26500.58824
5673.850069,-26500.58824
5674.405975,-26500.58824
5674.455662,-26500.58824
5679.544338,-26500.58824
5679.594025,-26500.58824
5680.149931,-26500.58824
5832,-14233.99401
5963.471086,-14233.99401
5963.861151,-14233.99401
5966.138849,-14233.99401
5966.528914,-14233.99401
6009.603945,-14233.99401
6011.069207,-14233.99401
6014.930793,-14233.99401
6016.396055,-14233.99401
6227.475581,-14233.99401
6230.524419,-14233.99401
6515.097771,-14099.54178
6515.548155,-14099.54178
6518.451845,-14099.54178
6518.902229,-26722.94118
6539.735781,-26722.94118
6542.264219,-26722.94118
6552,-14099.54178
6563.229482,-14099.54178
6566.770518,-14099.54178
6609.849091,-14099.54178
6616.150909,-14099.54178
6803.258955,-14099.54178
6806.741045,-14099.54178
6898.474322,-14099.54178
6903.525678,-14099.54178
6924.046996,-14099.54178
6925.953004,-14099.54178
7184.112358,-14099.54178
7193.887642,-14099.54178
7283.069808,-14695.55765
7283.545531,-14695.55765
7283.719498,-14695.55765
7286.280502,-14695.55765
7286.454469,-14695.55765
7286.930192,-28232.75294
7296,-14695.55765
7472.816004,-14695.55765
7481.183996,-14695.55765
7811.856742,-14695.55765
7814.143258,-14695.55765
7857.121752,-14695.55765
7859.322986,-14695.55765
7862.677014,-14695.55765
7864.878248,-14695.55765
7953.589936,-14695.55765
7960.410064,-14695.55765
8003.075989,-15671.91379
8003.539376,-15671.91379
8003.717538,-15671.91379
8006.282462,-15671.91379
8006.460624,-15671.91379
8006.924011,-30097.27059
8016,-15671.91379
8193.406106,-15671.91379
8195.95118,-15671.91379
8198.04882,-15671.91379
8200.593894,-15671.91379
8598.781341,-15671.91379
8600.080312,-15671.91379
8601.224075,-15671.91379
8608.775925,-15671.91379
8609.919688,-15671.91379
8611.218659,-15671.91379
8699.070254,-16523.41788
8699.552166,-16523.41788
8702.447834,-16523.41788
8702.929746,-31849.2
8747.720156,-31849.2
8750.279844,-31849.2
8760,-16523.41788
9504,-17560.29184
10176,-17994.71355
10920,-18148.6019
11640,-17329.07971
12384,-16551.28529
13104,-15591.47716
13848,-14479.67657
14592,-14295.65636
15312,-14166.24343
16056,-14765.79791
16776,-15749.00971
17520,-16602.92021
18264,-17560.29184
18936,-17994.71355
19680,-18148.6019
20400,-17329.07971
21144,-16551.28529
21864,-15591.47716
22608,-14479.67657
23352,-14295.65636
24072,-14166.24343
24816,-14765.79791
25536,-15749.00971
26280,-16602.92021
27024,-17560.29184
27696,-17994.71355
28440,-18148.6019
29160,-17329.07971
29904,-16551.28529
30624,-15591.47716
31368,-14479.67657
32112,-14295.65636
32832,-14166.24343
33576,-14765.79791
34296,-15749.00971
35040,-16602.92021
35784,-17560.29184
36456,-17994.71355
37200,-18148.6019
37920,-17329.07971
38664,-16551.28529
39384,-15591.47716
40128,-14479.67657
40872,-14295.65636
41592,-14166.24343
42336,-14765.79791
43056,-15749.00971
43800,-16602.92021
44544,-17560.29184
45216,-17994.71355
45960,-18148.6019
46680,-17329.07971
47424,-16551.28529
48144,-15591.47716
48888,-14479.67657
49632,-14295.65636
50352,-14166.24343
51096,-14765.79791
51816,-15749.00971
52560,-16602.92021
53304,-17560.29184
53976,-17994.71355
54720,-18148.6019
55440,-17329.07971
56184,-16551.28529
56904,-15591.47716
57648,-14479.67657
58392,-14295.65636
59112,-14166.24343
59856,-14765.79791
60576,-15749.00971
61320,-16602.92021
62064,-17560.29184
62736,-17994.71355
63480,-18148.6019
64200,-17329.07971
64944,-16551.28529
65664,-15591.47716
66408,-14479.67657
67152,-14295.65636
67872,-14166.24343
68616,-14765.79791
69336,-15749.00971
70080,-16602.92021
70824,-17560.29184
71496,-17994.71355
72240,-18148.6019
72960,-17329.07971
73704,-16551.28529
74424,-15591.47716
75168,-14479.67657
75912,-14295.65636
76632,-14166.24343
77376,-14765.79791
78096,-15749.00971
78840,-16602.92021
79584,-17560.29184
80256,-17994.71355
81000,-18148.6019
81720,-17329.07971
82464,-16551.28529
83184,-15591.47716
83928,-14479.67657
84672,-14295.65636
85392,-14166.24343
86136,-14765.79791
86856,-15749.00971
87600,-16602.92021
88344,-17560.29184
89016,-17994.71355
89760,-18148.6019
90480,-17329.07971
91224,-16551.28529
91944,-15591.47716
92688,-14479.67657
93432,-14295.65636
94152,-14166.24343
94896,-14765.79791
95616,-15749.00971
96360,-16602.92021
97104,-17560.29184
97776,-17994.71355
98520,-18148.6019
99240,-17329.07971
99984,-16551.28529
100704,-15591.47716
101448,-14479.67657
102192,-14295.65636
102912,-14166.24343
103656,-14765.79791
104376,-15749.00971
105120,-16602.92021
105864,-17560.29184
106536,-17994.71355
107280,-18148.6019
108000,-17329.07971
108744,-16551.28529
109464,-15591.47716
110208,-14479.67657
110952,-14295.65636
111672,-14166.24343
112416,-14765.79791
113136,-15749.00971
113880,-16602.92021
114624,-17560.29184
115296,-17994.71355
116040,-18148.6019
116760,-17329.07971
117504,-16551.28529
118224,-15591.47716
118968,-14479.67657
119712,-14295.65636
120432,-14166.24343
121176,-14765.79791
121896,-15749.00971
122640,-16602.92021
123384,-17560.29184
124056,-17994.71355
124800,-18148.6019
125520,-17329.07971
126264,-16551.28529
126984,-15591.47716
127728,-14479.67657
128472,-14295.65636
129192,-14166.24343
129936,-14765.79791
130656,-15749.00971
131400,-16602.92021
132144,-17560.29184
132816,-17994.71355
133560,-18148.6019
134280,-17329.07971
135024,-16551.28529
135744,-15591.47716
136488,-14479.67657
137232,-14295.65636
137952,-14166.24343
138696,-14765.79791
139416,-15749.00971
140160,-16602.92021
140904,-17560.29184
141576,-17994.71355
142320,-18148.6019
143040,-17329.07971
143784,-16551.28529
144504,-15591.47716
145248,-14479.67657
145992,-14295.65636
146712,-14166.24343
147456,-14765.79791
148176,-15749.00971
148920,-16602.92021
149664,-17560.29184
150336,-17994.71355
151080,-18148.6019
151800,-17329.07971
152544,-16551.28529
153264,-15591.47716
154008,-14479.67657
154752,-14295.65636
155472,-14166.24343
156216,-14765.79791
156936,-15749.00971
157680,-16602.92021
158424,-17560.29184
159096,-17994.71355
159840,-18148.6019
160560,-17329.07971
161304,-16551.28529
162024,-15591.47716
