Hours,q_rej
0,0
199.6514333,-45499.14343
199.882636,-45499.14343
202.2793281,-45499.14343
207.7206719,-45499.14343
210.117364,-45499.14343
210.3485667,-169000.3256
465.8927245,-169000.3256
467.7916114,-45499.14343
470.2083886,42419.32881
472.1072755,42419.32881
731.0952201,42419.32881
731.5555185,42419.32881
731.7314594,42419.32881
734.2685406,42419.32881
734.4444815,42419.32881
734.9047799,42419.32881
744,-45499.14343
872.5000588,-31084.56308
874.5728465,-31084.56308
879.4271535,-31084.56308
881.4999412,-132763.6359
969.8823904,-132763.6359
971.0090627,-31084.56308
974.9909373,48432.26471
976.1176096,48432.26471
1114.152877,48432.26471
1119.847123,48432.26471
1283.122776,48432.26471
1286.877224,48432.26471
1331.746832,48432.26471
1334.253168,48432.26471
1379.785888,48432.26471
1382.214112,48432.26471
1416,-31084.56308
1431.515897,-31084.56308
1431.831535,-31084.56308
1432.715994,-31084.56308
1546.891513,-31084.56308
1551.108487,-31084.56308
1857.023648,-15359.63791
1864.976352,-91359.88974
1954.275037,-91359.88974
1959.724963,-91359.88974
2145.698457,-91359.88974
2147.486302,-15359.63791
2147.972852,-15359.63791
2150.027148,-15359.63791
2150.513698,75055.95882
2152.301543,75055.95882
2160,-15359.63791
2175.554479,-15359.63791
2219.368004,-15359.63791
2219.765279,-15359.63791
2222.234721,-15359.63791
2222.631996,-15359.63791
2385.935549,-201.2491396
2387.84736,-201.2491396
2390.15264,-201.2491396
2392.064451,-57318.20256
2433.416027,-57318.20256
2440.583973,-57318.20256
2817.887923,-57318.20256
2819.401145,-201.2491396
2819.511096,-201.2491396
2822.488904,-201.2491396
2822.598855,97515.82941
2824.112077,97515.82941
2880,-201.2491396
2890.905124,21880.26673
2891.153749,21880.26673
2892.5,21880.26673
2893.5,21880.26673
2894.846251,21880.26673
2895.094876,-41380.91795
2895.469065,-41380.91795
2895.57913,-41380.91795
2896.280323,-41380.91795
3297.923052,-41380.91795
3298.549419,21880.26673
3298.637483,21880.26673
