Hours,q_rej
0,0
199.6514333,0
199.882636,0
202.2793281,0
207.7206719,0
210.117364,0
210.3485667,0
465.8927245,0
467.7916114,0
470.2083886,0
472.1072755,0
731.0952201,0
731.5555185,-791.9655061
731.7314594,-791.9655061
734.2685406,-791.9655061
734.4444815,-2323.976471
734.9047799,-2323.976471
744,-791.9655061
872.5000588,-791.9655061
874.5728465,-791.9655061
879.4271535,-791.9655061
881.4999412,-791.9655061
969.8823904,-791.9655061
971.0090627,-791.9655061
974.9909373,-791.9655061
976.1176096,-791.9655061
1114.152877,-791.9655061
1119.847123,-791.9655061
1283.122776,-791.9655061
1286.877224,-791.9655061
1331.746832,-791.9655061
1334.253168,-791.9655061
1379.785888,-814.5691398
1382.214112,-2350.588235
1416,-814.5691398
1431.515897,-814.5691398
1431.831535,-2349.741176
1432.715994,-2349.741176
1546.891513,-2349.741176
1551.108487,-2349.741176
1857.023648,-2349.741176
1864.976352,-2349.741176
1954.275037,-2349.741176
1959.724963,-2349.741176
2145.698457,-2349.741176
2147.486302,-2349.741176
2147.972852,-2349.741176
2150.027148,-2349.741176
2150.513698,-2349.741176
2152.301543,-2349.741176
2160,-851.3967073
2175.554479,-851.3967073
2219.368004,-851.3967073
2219.765279,-785.3337395
2222.234721,-2294.258824
2222.631996,-2294.258824
2385.935549,-2294.258824
2387.84736,-2294.258824
2390.15264,-2294.258824
2392.064451,-2294.258824
2433.416027,-2294.258824
2440.583973,-2294.258824
2817.887923,-2294.258824
2819.401145,-2294.258824
2819.511096,-2294.258824
2822.488904,-2294.258824
2822.598855,-2294.258824
2824.112077,-2294.258824
2880,-785.3337395
2890.905124,-785.3337395
2891.153749,-785.3337395
2892.5,-785.3337395
2893.5,-785.3337395
2894.846251,-785.3337395
2895.094876,-785.3337395
2895.469065,-2191.623529
2895.57913,-2191.623529
2896.280323,-2191.623529
3297.923052,-2191.623529
3298.549419,-2191.623529
3298.637483,-2191.623529
3303.362517,-2191.623529
3303.450581,-2191.623529
3304.076948,-2191.623529
3624,-765.8485447
3639.581959,-765.8485447
3639.869821,-2050.729412
3640.840546,-2050.729412
3682.926763,-2050.729412
3687.073237,-2050.729412
3707.200354,-2050.729412
3710.799646,-2050.729412
4210.734595,-2050.729412
4215.265405,-2050.729412
4281.776927,-2050.729412
4288.223073,-2050.729412
4306.07682,-2050.729412
4311.92318,-2050.729412
4344,-733.0397334
4359.566584,-733.0397334
4379.240982,-733.0397334
4379.570181,-733.0397334
4382.429819,-733.0397334
4382.759018,-733.0397334
4403.349029,-733.0397334
4403.761881,-653.141295
4406.238119,-1907.152941
4406.650971,-1907.152941
4736.752645,-1907.152941
4745.247355,-1907.152941
4762.530789,-1907.152941
4767.469211,-1907.152941
4785.589523,-1907.152941
4792.410477,-1907.152941
5088,-653.141295
5103.524511,-653.141295
5103.853749,-1818.282353
5104.739979,-1818.282353
5532.499994,-1818.282353
5533.500006,-1818.282353
5673.850069,-1818.282353
5674.405975,-1818.282353
5674.455662,-1818.282353
5679.544338,-1818.282353
5679.594025,-1818.282353
5680.149931,-1818.282353
5832,-678.6171255
5963.471086,-678.6171255
5963.861151,-678.6171255
5966.138849,-678.6171255
5966.528914,-678.6171255
6009.603945,-678.6171255
6011.069207,-678.6171255
6014.930793,-678.6171255
6016.396055,-678.6171255
6227.475581,-678.6171255
6230.524419,-678.6171255
6515.097771,-678.6171255
6515.548155,-649.3385397
6518.451845,-1835.364706
6518.902229,-1835.364706
6539.735781,-1835.364706
6542.264219,-1835.364706
6552,-649.3385397
6563.229482,-649.3385397
6566.770518,-649.3385397
6609.849091,-649.3385397
6616.150909,-649.3385397
6803.258955,-649.3385397
6806.741045,-649.3385397
6898.474322,-649.3385397
6903.525678,-649.3385397
6924.046996,-649.3385397
6925.953004,-649.3385397
7184.112358,-649.3385397
7193.887642,-649.3385397
7283.069808,-649.3385397
7283.545531,-673.0331111
7283.719498,-673.0331111
7286.280502,-673.0331111
7286.454469,-1949.788235
7286.930192,-1949.788235
7296,-673.0331111
7472.816004,-673.0331111
7481.183996,-673.0331111
7811.856742,-673.0331111
7814.143258,-673.0331111
7857.121752,-673.0331111
7859.322986,-673.0331111
7862.677014,-673.0331111
7864.878248,-673.0331111
7953.589936,-673.0331111
7960.410064,-673.0331111
8003.075989,-673.0331111
8003.539376,-719.0486631
8003.717538,-719.0486631
8006.282462,-719.0486631
8006.460624,-2086.658824
8006.924011,-2086.658824
8016,-719.0486631
8193.406106,-719.0486631
8195.95118,-719.0486631
8198.04882,-719.0486631
8200.593894,-719.0486631
8598.781341,-719.0486631
8600.080312,-719.0486631
8601.224075,-719.0486631
8608.775925,-719.0486631
8609.919688,-719.0486631
8611.218659,-719.0486631
8699.070254,-719.0486631
8699.552166,-741.3642049
8702.447834,-2222.188235
8702.929746,-2222.188235
8747.720156,-2222.188235
8750.279844,-2222.188235
8760,-741.3642049
9504,-797.9143264
10176,-820.1194328
10920,-857.0991461
11640,-790.5090196
12384,-770.5801708
13104,-738.2918627
13848,-657.3149905
14592,-682.9885199
15312,-654.1216667
16056,-678.0250474
16776,-724.597451
17520,-747.1276091
18264,-797.9143264
18936,-820.1194328
19680,-857.0991461
20400,-790.5090196
21144,-770.5801708
21864,-738.2918627
22608,-657.3149905
23352,-682.9885199
24072,-654.1216667
24816,-678.0250474
25536,-724.597451
26280,-747.1276091
27024,-797.9143264
27696,-820.1194328
28440,-857.0991461
29160,-790.5090196
29904,-770.5801708
30624,-738.2918627
31368,-657.3149905
32112,-682.9885199
32832,-654.1216667
33576,-678.0250474
34296,-724.597451
35040,-747.1276091
35784,-797.9143264
36456,-820.1194328
37200,-857.0991461
37920,-790.5090196
38664,-770.5801708
39384,-738.2918627
40128,-657.3149905
40872,-682.9885199
41592,-654.1216667
42336,-678.0250474
43056,-724.597451
43800,-747.1276091
44544,-797.9143264
45216,-820.1194328
45960,-857.0991461
46680,-790.5090196
47424,-770.5801708
48144,-738.2918627
48888,-657.3149905
49632,-682.9885199
50352,-654.1216667
51096,-678.0250474
51816,-724.597451
52560,-747.1276091
53304,-797.9143264
53976,-820.1194328
54720,-857.0991461
55440,-790.5090196
56184,-770.5801708
56904,-738.2918627
57648,-657.3149905
58392,-682.9885199
59112,-654.1216667
59856,-678.0250474
60576,-724.597451
61320,-747.1276091
62064,-797.9143264
62736,-820.1194328
63480,-857.0991461
64200,-790.5090196
64944,-770.5801708
65664,-738.2918627
66408,-657.3149905
67152,-682.9885199
67872,-654.1216667
68616,-678.0250474
69336,-724.597451
70080,-747.1276091
70824,-797.9143264
71496,-820.1194328
72240,-857.0991461
72960,-790.5090196
73704,-770.5801708
74424,-738.2918627
75168,-657.3149905
75912,-682.9885199
76632,-654.1216667
77376,-678.0250474
78096,-724.597451
78840,-747.1276091
79584,-797.9143264
80256,-820.1194328
81000,-857.0991461
81720,-790.5090196
82464,-770.5801708
83184,-738.2918627
83928,-657.3149905
84672,-682.9885199
85392,-654.1216667
86136,-678.0250474
86856,-724.597451
87600,-747.1276091
88344,-797.9143264
89016,-820.1194328
89760,-857.0991461
90480,-790.5090196
91224,-770.5801708
91944,-738.2918627
92688,-657.3149905
93432,-682.9885199
94152,-654.1216667
94896,-678.0250474
95616,-724.597451
96360,-747.1276091
97104,-797.9143264
97776,-820.1194328
98520,-857.0991461
99240,-790.5090196
99984,-770.5801708
100704,-738.2918627
101448,-657.3149905
102192,-682.9885199
102912,-654.1216667
103656,-678.0250474
104376,-724.597451
105120,-747.1276091
105864,-797.9143264
106536,-820.1194328
107280,-857.0991461
108000,-790.5090196
108744,-770.5801708
109464,-738.2918627
110208,-657.3149905
110952,-682.9885199
111672,-654.1216667
112416,-678.0250474
113136,-724.597451
113880,-747.1276091
114624,-797.9143264
115296,-820.1194328
116040,-857.0991461
116760,-790.5090196
117504,-770.5801708
118224,-738.2918627
118968,-657.3149905
119712,-682.9885199
120432,-654.1216667
121176,-678.0250474
121896,-724.597451
122640,-747.1276091
123384,-797.9143264
124056,-820.1194328
124800,-857.0991461
125520,-790.5090196
126264,-770.5801708
126984,-738.2918627
127728,-657.3149905
128472,-682.9885199
129192,-654.1216667
129936,-678.0250474
130656,-724.597451
131400,-747.1276091
132144,-797.9143264
132816,-820.1194328
133560,-857.0991461
134280,-790.5090196
135024,-770.5801708
135744,-738.2918627
136488,-657.3149905
137232,-682.9885199
137952,-654.1216667
138696,-678.0250474
139416,-724.597451
140160,-747.1276091
140904,-797.9143264
141576,-820.1194328
142320,-857.0991461
143040,-790.5090196
143784,-770.5801708
144504,-738.2918627
145248,-657.3149905
145992,-682.9885199
146712,-654.1216667
147456,-678.0250474
148176,-724.597451
148920,-747.1276091
149664,-797.9143264
150336,-820.1194328
151080,-857.0991461
151800,-790.5090196
152544,-770.5801708
153264,-738.2918627
154008,-657.3149905
154752,-682.9885199
155472,-654.1216667
156216,-678.0250474
156936,-724.597451
157680,-747.1276091
158424,-797.9143264
159096,-820.1194328
159840,-857.0991461
160560,-790.5090196
161304,-770.5801708
162024,-738.2918627
162768,-657.3149905
163512,-682.9885199
