Hours,HPHtgLd_W,HPClgLd_W
0,0,0
1,38480.5,0
2,37297.6,0
3,37934.5,0
4,38337.2,0
5,38250,0
6,37264.3,0
7,35405.5,0
8,34905.6,0
9,36160,0
10,35637.6,0
11,34574.8,0
12,33342.2,0
13,32424,0
14,32186.6,0
15,32370.7,0
16,32652.7,0
17,32222.5,0
18,30230.2,0
19,29067.8,0
20,30259.6,0
21,31731.4,0
22,33388.3,0
23,36170.6,0
24,39144.1,0
25,41961.9,0
26,43666.2,0
27,45030.4,0
28,46543.3,0
29,47821.5,0
30,48130.3,0
31,47283.7,0
32,47491.2,0
33,44785.6,0
34,40501.4,0
35,36709.2,0
36,33697.8,0
37,30888.3,0
38,28238,0
39,26403.3,0
40,26624.9,0
41,29553.4,0
42,30619.6,0
43,31269.5,0
44,33736.5,0
45,36616.2,0
46,39060,0
47,42080.1,0
48,45126.6,0
49,47680.1,0
50,48879.2,0
51,49633.6,0
52,50137.8,0
53,50167.1,0
54,49160.8,0
55,46938.2,0
56,45855.8,0
57,45192.8,0
58,41712,0
59,38890.9,0
60,37278.9,0
61,35773.6,0
62,35248.7,0
63,35980,0
64,36145.7,0
65,35567.5,0
66,34152,0
67,32774.3,0
68,33339.8,0
69,34174.9,0
70,35745.6,0
71,38923.9,0
72,42313.9,0
73,44777.6,0
74,45668.7,0
75,46162.9,0
76,46830.1,0
77,47270.5,0
78,46743,0
79,44937.5,0
80,44033.4,0
81,43923.9,0
82,43302.5,0
83,41526.8,0
84,39625,0
85,38634.7,0
86,38074.1,0
87,37825.7,0
88,37440.3,0
89,36420.1,0
90,34621.5,0
91,32652.2,0
92,32689,0
93,33008.8,0
94,33551.6,0
95,35270.5,0
96,37130.1,0
97,38977.9,0
98,39940.8,0
99,40597,0
100,41083.3,0
101,41086.4,0
102,40204.9,0
103,38517.5,0
104,38157.1,0
105,38773.4,0
106,38139.9,0
107,35736.8,0
108,33142.5,0
109,31929,0
110,31601.6,0
111,32538.1,0
112,32665.9,0
113,31936.7,0
114,30497.7,0
115,28960.9,0
116,29205.4,0
117,29666.7,0
118,30510.2,0
119,32672.6,0
120,34978.3,0
121,37198,0
122,38391.3,0
123,39269,0
124,39760.7,0
125,39676.9,0
126,38595,0
127,36744,0
128,36243.2,0
129,36668.3,0
130,36255.7,0
131,35203.3,0
132,34276.2,0
133,33370.5,0
134,33125.4,0
135,33286.1,0
136,33000.6,0
137,31776.1,0
138,29574.4,0
139,27407.8,0
140,27325.9,0
141,27523.4,0
142,29548.2,0
143,34125.1,0
144,39082.8,0
145,43258.8,0
146,45994.3,0
147,48521.2,0
148,50468.4,0
149,51603.3,0
150,51739.1,0
151,51025.2,0
152,51616.9,0
153,52352.8,0
154,50680.9,0
155,48105.6,0
156,45625.6,0
157,41805.3,0
158,39901.5,0
159,39264.7,0
160,41200.9,0
161,44210,0
162,44710.8,0
163,45065.6,0
164,47496.6,0
165,50194.1,0
166,53133.6,0
167,57250.3,0
168,61423.7,0
169,64994.7,0
170,67132.1,0
171,68867.6,0
172,70632.4,0
173,71972.4,0
174,72328,0
175,71841.7,0
176,72443.5,0
177,70917.6,0
