Hours,HPHtgLd_W,HPClgLd_W
0,0,0
1,112007.9,4691.8
2,111852.6,4330.6
3,113448.9,3979.4
4,114970.4,3660.8
5,115343.1,4600.9
6,115987.1,4680.8
7,139565,15868.2
8,111259.5,22487.2
9,105891.5,22245.2
10,89432.9,26393.3
11,86387.9,27671.4
12,83298.7,28962.2
13,80659.4,30124
14,78758.7,31157.8
15,77771.1,32039.8
16,77699.9,32772.3
17,78620.9,33337.7
18,103891.8,28420.1
19,110492.4,20089.1
20,101815.2,20896.7
21,118470.5,9758.9
22,108629.4,9988.7
23,111437.1,6392.2
24,113683.5,5168.2
25,112250.3,4614.3
26,113346.3,4198.3
27,115152.2,3832.5
28,117727.5,3492.3
29,104385.4,4924.6
30,89322.1,7573.2
31,72428.9,39763.6
32,43540,68461.6
33,35516,83215.8
34,29794.5,97266.1
35,25850.6,109629
36,22979,120764.6
37,20034.6,132053.5
38,16482.5,143448.9
39,13242.3,152356.5
40,10818.9,155411.3
41,9767.9,150465.3
42,8634,151353.5
43,16372.2,84829.5
44,16529.4,84441.2
45,29291.6,42691.9
46,32569.6,37869.8
47,43044.4,25098.5
48,48391.3,20128.8
49,52573.6,16894.9
50,56110.8,14322
51,59566.9,12840.3
52,63311.2,11540.2
53,56362.2,21574.2
54,51256.8,27738.5
55,33892.4,81080.8
56,17039.6,117186.8
57,12989.8,129092.2
58,9235,139436.4
59,7675,147423.4
60,6896.8,153467.6
61,6024.2,158987.9
62,5175,163738.1
63,5207,167174.2
64,5670.7,170662.8
65,6472.1,173835.2
66,6938.7,176967.6
67,10781.6,106064.3
68,11821.8,105564.8
69,19287.9,64986
70,22489.6,61249.8
71,28757.7,46971.7
72,32768.6,39862.9
73,35833.3,35338
74,38279.4,31802.8
75,40507.4,28776
76,43424.6,26150.8
77,37037.4,40132.9
78,35801.4,47246.1
79,19983.8,100582.8
80,14642.5,135222.1
81,13049.4,145461.8
82,11418.4,152633.9
83,9729,158839.6
84,8123.4,164425.5
85,7254.5,169041.7
86,6595,173264.1
87,6371.4,176948.1
88,6508.4,180121.6
89,7198,182682.3
90,7565.5,185431.2
91,11269.7,112889.8
92,12372.1,111527.9
93,19985.7,70580.3
94,22400.7,66951.6
95,27479.5,53141.4
96,29611.6,46636.8
97,31361.6,41941.6
98,33272.3,38242
99,34951.3,34876.6
100,36405,31794.1
101,29728.8,46958.7
102,28751.5,53150.7
103,15319.1,106564.3
104,11504.7,141323.1
105,10295.8,151014.1
106,8622.5,158197.5
107,6540.2,164759.3
108,4812.7,170974
109,3985,175775.5
110,3335.9,179571.5
111,3781.7,181822.6
112,4341.6,184749.9
113,5034.1,187914
114,5493.6,191252.3
115,8926.9,116540.8
116,9883.7,114801.8
117,16246.7,73901.9
118,18346.5,70282.8
119,23711.6,56378.5
120,26241.9,49646.1
121,28340.4,44680.2
122,30371.4,40517
123,32463,37066.2
124,34215,33852.7
125,27996.9,49139.4
126,27182.7,55087.6
127,14601.9,109135.5
128,11147.7,143987.1
129,9745.4,153503
130,8127.8,160388.8
131,6809.9,166107.8
132,5759.3,171191.3
133,4839,175838.7
134,4361.1,180072.2
135,4387.3,183776.1
136,4628.5,187341.5
137,5211,190846.5
138,5447.2,194618.5
139,8540.7,118733.1
140,9318.6,116789.9
141,15440.9,75599.9
142,17963,71649.1
143,24422.7,57045.3
144,28500.8,49692.1
145,32154.5,44444.1
146,35905.3,40712.3
147,39546.4,37130.8
148,42808.5,33676.5
149,45417.3,31799.1
150,48658.1,29536.9
151,46559.2,34781.1
152,39514.3,55260.6
153,36248.2,65788.3
154,25803.9,88477.9
155,21441,100396.9
156,17985.8,105026.4
157,14251.4,111496.8
158,12187.8,116166.6
159,10765.9,118547
160,16704.4,85895.6
161,22610.9,83873.8
162,27542.1,80756.5
163,32435.9,65557.1
164,35699.1,67850.5
165,49728,33721.1
166,54796.6,30332.8
167,59499.1,25032.4
168,63393.1,21909.4
169,70795.5,19034.5
170,76551.4,16941.5
171,81367.5,15125.3
172,86282.8,13418.8
173,89836.8,12643.2
174,94015.6,11282.7
175,95029.3,16919.5
176,88366.4,22649.8
177,76600,28392.5
178,68768.5,34508.9
179,65194.2,36312.9
180,63174.1,37666
181,60971.1,38926.4
182,56645.3,40926.6
183,53371,42556.8
184,54078.4,42213.3
185,62305.1,39814.7
186,81962.5,29093.3
187,90544.3,19702.8
188,91343.5,20350.4
189,102858.6,10085.1
190,102514.9,10306.2
191,108148.5,8627.6
192,114223.6,7857.1
193,120053.7,7387
194,124458.3,6860.3
195,128726.4,6341.3
196,132802.4,5834.4
197,121088,9833.1
198,112455.2,12834.3
199,83928.2,48791.3
200,55743.2,80134.9
201,43353.5,93090.3
202,33106.1,104579.2
203,26731.4,114410.2
204,23022.5,123398.6
205,19567.7,129921.2
206,16867.4,135357.4
207,17372.2,139116.7
208,18835.5,143127.6
209,20243.9,147278.1
210,20950.1,151482.9
211,32641.7,85093.5
212,35702.4,84547.9
213,50596.2,45650.2
214,54054,42843.8
215,61994.7,32673.1
216,65276.7,27494.6
217,70524.3,23859
218,74847,21784.3
219,78160.4,20117.9
220,80893.1,18554.2
221,72189.3,29848.9
222,67221.7,36118.4
223,41676.1,82764
224,28491,116507.9
225,24410.6,127506.2
226,21155.8,135669.4
227,18084.2,142796.6
228,15537.6,149332
229,13567.1,154942.4
230,12142,159932.2
231,12442.4,163741.4
232,11619.8,168050.8
233,11701.1,171553.5
234,11865.8,174780.1
235,16721.6,103764.2
236,17401.7,103049.2
237,25402.4,63166.9
238,26830.1,59572.6
239,31940.7,47592.7
240,33608.6,42530.1
241,34453.8,38754.1
242,34869.1,35255.7
243,34954,32148.8
244,36887,29144.2
245,32696.2,43859.9
246,33512.7,49729.9
247,20425.6,99344.8
248,17573.6,132188.3
249,17514,141600.7
250,16697.6,148683.1
251,16036.3,154583.1
252,16840,158891.4
253,16317.7,163498
254,15315.6,167996.8
255,15810.4,171376.7
256,16311,174527.3
257,17935.6,176816.1
258,19118.1,179103.4
259,27888.5,106230.8
260,30703.2,104008.5
261,42815.6,63736.1
262,46996.1,59799.4
263,55576.5,48654.4
264,59788.3,43429.4
265,63925.7,39400.2
266,68774.3,35803.5
267,72739.1,32249.4
268,76187.3,28964.6
269,71008.7,43499.2
270,69176.9,49381.7
271,44871.5,95086
272,33076.9,129011.7
273,23759.2,142724.7
274,17589.3,152152
275,15272.7,158731.6
276,13143,164499.3
277,11771,169242.4
278,10646,172302
279,11083.8,174700.7
280,12569.5,176902.9
281,13327.8,179649
282,13537.5,182531.3
283,18900.1,110137
284,20226.9,108512.6
285,30205.3,68367.9
286,32192.2,64752.3
287,37774,52472
288,39915.4,46358.1
289,41467.1,42362.4
290,42827.8,38985.2
291,44450.8,35673.3
292,45845,32543.4
293,37827.3,47805.3
294,34702.8,53655.5
295,17594.3,105276.3
296,12471.1,140010.1
297,10439.3,149993.2
298,7878.5,157572.1
299,5181.7,164644.8
300,3604.6,171351.7
301,2613.5,180669.1
302,1629.8,191393.8
303,856,201139.8
304,603.9,201502.4
305,991,194242.3
306,1397.3,202474.8
307,4040.7,118811.6
