Hours,HPHtgLd_W,HPClgLd_W
0,0,0
16.51843598,1121.951134,0
199.6946639,1121.951134,0
199.882636,1121.951134,0
210.117364,1121.951134,0
210.3053361,1121.951134,0
465.9314057,1121.951134,0
467.7597304,1121.951134,0
470.2402696,1121.951134,0
472.0685943,1121.951134,0
731.0952201,1121.951134,0
731.5555185,1121.951134,0
731.7314594,1121.951134,0
734.2685406,1121.951134,0
734.4444815,3292.3,0
734.9047799,3292.3,0
744,1121.951134,0
872.5141009,1121.951134,0
873.7798344,1121.951134,0
880.2201656,1121.951134,0
881.4858991,1121.951134,0
969.9977736,1121.951134,0
971.0125052,1121.951134,0
972.3244226,1121.951134,0
973.6755774,1121.951134,0
974.9874948,1121.951134,0
976.0022264,1121.951134,0
1114.153253,1121.951134,0
1119.846747,1121.951134,0
1283.122776,1121.951134,0
1286.877224,1121.951134,0
1331.746832,1121.951134,0
1334.253168,1121.951134,0
1379.785888,1153.972948,0
1382.214112,3330,0
1416,1153.972948,0
1431.515897,1153.972948,0
1431.831535,3328.8,0
1432.715994,3328.8,0
1545.211408,3328.8,0
1552.788592,3328.8,0
1857.033439,3328.8,0
1864.966561,3328.8,0
1954.276972,3328.8,0
1959.723028,3328.8,0
2145.756029,3328.8,0
2147.49161,3328.8,0
2147.729165,3328.8,0
2150.270835,3328.8,0
2150.50839,3328.8,0
2152.243971,3328.8,0
2160,1206.145335,0
2175.554479,1206.145335,0
2219.368004,1206.145335,0
2219.765279,1112.556131,0
2222.234721,3250.2,0
2222.631996,3250.2,0
2385.945753,3250.2,0
2386.2624,3250.2,0
2391.7376,3250.2,0
2392.054247,3250.2,0
2433.448548,3250.2,0
2440.551452,3250.2,0
2817.910402,3250.2,0
2819.404199,3250.2,0
2819.512189,3250.2,0
2822.487811,3250.2,0
2822.595801,3250.2,0
2824.089598,3250.2,0
2880,1112.556131,0
2895.469065,3104.8,0
2895.57913,3104.8,0
2896.280323,3104.8,0
2896.686616,3104.8,0
2897.18172,3104.8,0
3297.934621,3104.8,0
3298.552662,3104.8,0
3298.644014,3104.8,0
3303.355986,3104.8,0
3303.447338,3104.8,0
3304.065379,3104.8,0
3583.85591,3104.8,0
3594.14409,3104.8,0
3624,1084.952105,0
3639.581959,1084.952105,0
3639.869821,2905.2,0
3640.840546,2905.2,0
3682.746967,2905.2,0
3687.253033,2905.2,0
3707.164898,2905.2,0
3710.835102,2905.2,0
3731.166839,2905.2,0
3734.833161,2905.2,0
4210.73847,2905.2,0
4215.26153,2905.2,0
4281.78001,2905.2,0
4288.21999,2905.2,0
4306.078847,2905.2,0
4311.921153,2905.2,0
4344,1038.472956,0
4359.566584,1038.472956,0
4379.196559,1038.472956,0
4379.205371,1038.472956,0
4382.794629,1038.472956,0
4382.803441,1038.472956,0
4403.349029,1038.472956,0
4403.761881,925.2835013,0
4406.238119,2701.8,0
4406.650971,2701.8,0
4736.756174,2701.8,0
4745.243826,2701.8,0
4762.531029,2701.8,0
4767.468971,2701.8,0
4785.592607,2701.8,0
4792.407393,2701.8,0
5052.494103,2701.8,0
5053.505897,2701.8,0
5088,925.2835013,0
5103.524511,925.2835013,0
5103.853749,2575.9,0
5104.739979,2575.9,0
5388.279461,2575.9,0
5389.720539,2575.9,0
5532.117093,2575.9,0
5532.377452,2575.9,0
5533.622548,2575.9,0
5533.882907,2575.9,0
5673.851849,2575.9,0
5674.406024,2575.9,0
5674.455821,2575.9,0
5679.544179,2575.9,0
5679.593976,2575.9,0
5680.148151,2575.9,0
5832,961.3742612,0
5937.000128,961.3742612,0
5944.999872,961.3742612,0
5963.45446,961.3742612,0
5963.680124,961.3742612,0
5966.319876,961.3742612,0
5966.54554,961.3742612,0
6009.611541,961.3742612,0
6011.073489,961.3742612,0
6014.926511,961.3742612,0
6016.388459,961.3742612,0
6227.488832,961.3742612,0
6230.511168,961.3742612,0
6515.097771,961.3742612,0
6515.548155,919.8962646,0
6518.451845,2600.1,0
6518.902229,2600.1,0
6539.735781,2600.1,0
6542.264219,2600.1,0
6552,919.8962646,0
6561.453183,919.8962646,0
6565,919.8962646,0
6609.883723,919.8962646,0
6616.116277,919.8962646,0
6755.35552,919.8962646,0
6758.64448,919.8962646,0
6803.26214,919.8962646,0
6806.73786,919.8962646,0
6898.485383,919.8962646,0
6903.514617,919.8962646,0
7184.147115,919.8962646,0
7193.852885,919.8962646,0
7283.069808,919.8962646,0
7283.545531,953.4635741,0
7283.719498,953.4635741,0
7286.280502,953.4635741,0
7286.454469,2762.2,0
7286.930192,2762.2,0
7296,953.4635741,0
7472.984723,953.4635741,0
7481.015277,953.4635741,0
7811.67056,953.4635741,0
7814.32944,953.4635741,0
7857.13068,953.4635741,0
7858.737494,953.4635741,0
7863.262506,953.4635741,0
