Hours,HPHtgLd_W,HPClgLd_W
0,0.0,0.0
1,112007.9,4691.8
2,111852.6,4330.6
3,113448.9,3979.4
4,114970.4,3660.8
5,115343.1,4600.9
6,115987.1,4680.8
7,139565.0,15868.2
8,111259.5,22487.2
9,105891.5,22245.2
10,89432.9,26393.3
11,86387.9,27671.4
12,83298.7,28962.2
13,80659.4,30124.0
14,78758.7,31157.8
15,77771.1,32039.8
16,77699.9,32772.3
17,78620.9,33337.7
18,103891.8,28420.1
19,110492.4,20089.1
20,101815.2,20896.7
21,118470.5,9758.9
22,108629.4,9988.7
23,111437.1,6392.2
24,113683.5,5168.2
25,112250.3,4614.3
26,113346.3,4198.3
27,115152.2,3832.5
28,117727.5,3492.3
29,104385.4,4924.6
30,89322.1,7573.2
31,72428.9,39763.6
32,43540.0,68461.6
33,35516.0,83215.8
34,29794.5,97266.1
35,25850.6,109629.0
36,22979.0,120764.6
37,20034.6,132053.5
38,16482.5,143448.9
39,13242.3,152356.5
40,10818.9,155411.3
41,9767.9,150465.3
42,8634.0,151353.5
43,16372.2,84829.5
44,16529.4,84441.2
45,29291.6,42691.9
46,32569.6,37869.8
47,43044.4,25098.5
48,48391.3,20128.8
49,52573.6,16894.9
50,56110.8,14322.0
51,59566.9,12840.3
52,63311.2,11540.2
53,56362.2,21574.2
54,51256.8,27738.5
55,33892.4,81080.8
56,17039.6,117186.8
57,12989.8,129092.2
58,9235.0,139436.4
59,7675.0,147423.4
60,6896.8,153467.6
61,6024.2,158987.9
62,5175.0,163738.1
63,5207.0,167174.2
64,5670.7,170662.8
65,6472.1,173835.2
66,6938.7,176967.6
67,10781.6,106064.3
68,11821.8,105564.8
69,19287.9,64986.0
70,22489.6,61249.8
71,28757.7,46971.7
72,32768.6,39862.9
73,35833.3,35338.0
74,38279.4,31802.8
75,40507.4,28776.0
76,43424.6,26150.8
77,37037.4,40132.9
78,35801.4,47246.1
79,19983.8,100582.8
80,14642.5,135222.1
81,13049.4,145461.8
82,11418.4,152633.9
83,9729.0,158839.6
84,8123.4,164425.5
85,7254.5,169041.7
86,6595.0,173264.1
87,6371.4,176948.1
88,6508.4,180121.6
89,7198.0,182682.3
90,7565.5,185431.2
91,11269.7,112889.8
92,12372.1,111527.9
93,19985.7,70580.3
94,22400.7,66951.6
95,27479.5,53141.4
96,29611.6,46636.8
97,31361.6,41941.6
98,33272.3,38242.0
99,34951.3,34876.6
100,36405.0,31794.1
101,29728.8,46958.7
102,28751.5,53150.7
103,15319.1,106564.3
