Hours,HPHtgLd_W,HPClgLd_W,Unnamed: 3,Unnamed: 4
270,169525.2,0,,
271,106909.4,0,,
272,85142.8,0,,
273,37860.4,5057.1,,
274,22107.3,5355.8,,
275,18617.1,5118.7,,
276,16601.3,7426.9,,
277,18841.3,10221.7,,
278,13767.6,11289.9,,
279,14954.7,8905.6,,
280,19402.4,8686.1,,
281,21926.6,11142.4,,
282,25945.5,13158.3,,
283,31895.2,86,,
284,33165.6,0,,
285,38482.8,0,,
286,39321.7,0,,
287,72214.2,0,,
288,86142.2,0,,
289,82427.4,0,,
290,91215.7,0,,
291,85363.7,0,,
292,92503.9,0,,
293,84834.6,0,,
294,90565,0,,
295,54506.8,0,,
296,43424.2,0,,
297,19656.2,5536.3,,
298,9462.9,5036.7,,
299,3500.4,4893.6,,
300,1685.5,7423.3,,
301,1807.4,11563.4,,
302,261.7,21206.4,,
303,54.9,24093.2,,
304,11.8,14415.4,,
305,347.7,13752.2,,
306,1654.7,14342.6,,
307,7526.9,141.5,,
308,12204,0,,
309,21143.5,0,,
310,25624.3,0,,
311,58167.6,0,,
312,75654.7,0,,
313,82083.7,0,,
314,95889.4,0,,
315,96176.2,0,,
316,107736.1,0,,
317,103116.3,0,,
318,112428.9,0,,
319,66086.1,0,,
320,55299.8,0,,
321,39241.8,0,,
322,27278.1,0,,
323,26926,0,,
324,21615.1,0,,
325,20677.3,0,,
326,19255.3,0,,
327,26690.8,0,,
328,29871.1,0,,
329,34461.5,0,,
330,40415.2,0,,
331,68896.7,0,,
332,82614,0,,
333,78425.1,0,,
334,86368.3,0,,
335,79787,0,,
336,87157.9,0,,
337,80171.1,0,,
338,87873.2,0,,
339,80954.8,0,,
340,89044.4,0,,
341,82531.4,0,,
342,91148.4,0,,
343,83976.1,0,,
344,90937.2,0,,
345,77382.8,0,,
346,73977.3,0,,
347,58422.6,0,,
348,57968,0,,
349,49665.2,0,,
350,51547.1,0,,
351,48664.8,0,,
352,56866.6,0,,
353,57304.9,0,,
354,69484.2,0,,
355,65034.2,0,,
356,71883.9,0,,
357,66212.4,0,,
358,73208.3,0,,
359,67754.7,0,,
360,74974.3,0,,
361,68895.8,0,,
362,75451.8,0,,
363,68991.8,0,,
364,76070.1,0,,
365,70429.8,0,,
366,78290,0,,
367,72434,0,,
368,79489.3,0,,
369,67781.3,0,,
370,65607.3,0,,
371,52816.2,0,,
372,51955.5,0,,
373,43162.7,0,,
374,45755.3,0,,
375,44607.4,0,,
376,53257,0,,
377,57416.4,0,,
378,71270.2,0,,
379,68927,0,,
380,77855.3,0,,
381,73734.4,0,,
382,82510.5,0,,
383,76772.2,0,,
384,85195.3,0,,
385,75637.7,0,,
386,83460.4,0,,
387,77517.8,0,,
388,86080.1,0,,
389,80074.6,0,,
390,88194.9,0,,
391,53949.8,0,,
392,44233.3,0,,
393,20807.8,3104.8,,
394,10773.2,1655.3,,
395,6058.8,1674.5,,
396,5358.9,4127.5,,
397,4960.8,6984.1,,
398,1493.5,8668.3,,
399,1259.3,6931.7,,
400,1829.3,7124,,
401,3677.2,9969.6,,
402,8962,12472.2,,
403,15551.1,58.9,,
404,17210.2,0,,
405,22366.7,0,,
406,23999.6,0,,
407,50109.2,0,,
408,63510.2,0,,
409,63115.1,0,,
410,71734.9,0,,
411,68616,0,,
412,76911.7,0,,
413,72932,0,,
414,80825.1,0,,
415,48517.2,0,,
416,39293.7,0,,
417,14463.1,5540.4,,
418,6962.2,5089.5,,
419,3224.6,4743.8,,
420,1751.5,7185.8,,
421,2635.8,10056.5,,
422,839.5,14936.6,,
423,844.7,21723.9,,
424,963.8,20631.6,,
425,2207.5,13860.3,,
426,7435.8,14500.8,,
427,15479.1,142.5,,
428,18528.1,0,,
429,24807,0,,
430,27095.5,0,,
431,57355.1,0,,
432,71553.4,0,,
433,70766.8,0,,
434,79855.7,0,,
435,76310.1,0,,
436,86191.6,0,,
437,84107.2,0,,
438,95355.7,0,,
439,58739.8,0,,
440,49041.6,0,,
441,23543.1,6165.6,,
442,10215.7,6538.9,,
443,6453.9,6625.2,,
444,4888.8,20711.8,,
445,5888,29490,,
446,2056.9,34044,,
447,1286.6,30728.5,,
448,1246.1,23529.8,,
449,2212.6,14683.3,,
450,6103.8,14997.8,,
451,12496.2,171.4,,
452,16093.1,0,,
453,23568.5,0,,
454,27322.9,0,,
455,62480.8,0,,
456,81750.7,0,,
457,84331.6,0,,
458,95776.8,0,,
459,93646.7,0,,
460,104341,0,,
461,100172.4,0,,
462,109926.5,0,,
463,66446.3,0,,
464,54009.7,0,,
465,25056.8,6275.8,,
466,11706.2,6136.1,,
467,7142.7,6439.1,,
468,5077.7,25617,,
469,6017.3,33746.7,,
470,2217.4,38418.4,,
471,1376.8,35480.9,,
472,1304.8,29165.5,,
473,2320.9,16136.6,,
474,6472.9,15140.6,,
475,12472.3,173.9,,
476,15433,0,,
477,21927.1,0,,
478,24435.6,0,,
479,53493.2,0,,
480,67119.4,0,,
481,70398.9,0,,
482,81444,0,,
483,79532.6,0,,
484,89479.9,0,,
485,85733.3,0,,
486,95355.6,0,,
487,56096.8,0,,
488,47826.9,0,,
489,32556.1,0,,
490,22814.5,0,,
491,18349.1,0,,
492,15367.9,0,,
493,10224.2,0,,
494,7521.7,0,,
495,10054,0,,
496,13496.3,0,,
497,21869.1,0,,
498,29456.4,0,,
499,56027.8,0,,
500,69231.9,0,,
501,67353.2,0,,
502,76407.9,0,,
503,73374.8,0,,
504,82649.3,0,,
505,78579.2,0,,
506,87979.2,0,,
507,83264,0,,
508,95001.9,0,,
509,93633.8,0,,
510,108429.5,0,,
511,107417,0,,
512,121424.5,0,,
513,105567.9,0,,
514,92775.8,0,,
515,82857.9,0,,
516,79575.8,0,,
517,71775.1,0,,
518,73241.1,0,,
519,63493.7,0,,
520,73899.9,0,,
521,92721.5,0,,
522,118310.7,0,,
523,118527.5,0,,
524,133826.3,0,,
525,132254.9,0,,
526,147414.3,0,,
527,144843.5,0,,
528,160095.9,0,,
529,152055.1,0,,
530,165454.1,0,,
531,161269.7,0,,
532,174808.6,0,,
533,168710.9,0,,
534,180208.7,0,,
535,115521.1,0,,
536,92118.6,0,,
537,43424.4,3152.4,,
538,26332.7,1973.7,,
539,22163.5,3507.1,,
540,20621.5,16259.5,,
541,22805.7,24057.8,,
542,15020.9,27375.3,,
543,12159.4,22271.1,,
544,11942.2,12342.9,,
545,15439,11745.4,,
546,25443.4,13187.5,,
547,34638.7,80.6,,
548,37568.3,0,,
549,44715.3,0,,
550,47484.1,0,,
551,92685,0,,
552,114289,0,,
553,112490.5,0,,
554,122902.8,0,,
555,116930.6,0,,
556,126165.6,0,,
557,118714.9,0,,
558,126931.9,0,,
559,78859.8,0,,
560,64979.3,0,,
561,38108,4901.2,,
562,29660.3,4031.3,,
563,23390,3654.8,,
564,15910.4,5954,,
565,16033.5,8678.6,,
566,9537.5,10178.4,,
567,8577.4,8357.8,,
568,11002.8,8429.9,,
569,15047.6,10999.5,,
570,21120.2,13047.3,,
571,27735.4,80.9,,
572,29293.7,0,,
573,34480.4,0,,
574,36843.4,0,,
575,75475.6,0,,
576,96090,0,,
577,98906.6,0,,
578,115809.5,0,,
579,117538.8,0,,
580,133370.4,0,,
581,132953.9,0,,
582,147758.5,0,,
583,94885.8,0,,
584,76540.1,0,,
585,33685.4,5668.9,,
586,20930,5783.9,,
587,17472.6,7040.5,,
588,16138.7,20533.3,,
589,18415.6,28181.5,,
590,11193.7,32110.5,,
591,9144.5,28081.4,,
592,9298.1,20786.8,,
593,11382,13930.8,,
594,20660.9,14513.7,,
595,31333.8,141.1,,
596,36288.8,0,,
597,44537.7,0,,
598,49136.9,0,,
599,102139.3,0,,
600,129796.6,0,,
601,133212.3,0,,
602,147752.8,0,,
603,146459.5,0,,
604,160675,0,,
605,159764.1,0,,
606,174136.7,0,,
607,111300.6,0,,
608,88096.7,0,,
609,38926.4,6062.7,,
610,25280.7,6722.7,,
611,22308.1,5888.9,,
612,21226,7953.3,,
613,22512.6,10555.1,,
614,15843.7,11590,,
615,14768.5,9467.4,,
616,17339.9,9433.7,,
617,24053.9,11733.9,,
618,32247.7,13509.5,,
619,40451.1,100.4,,
620,43502.7,0,,
621,51432.5,0,,
622,54219.7,0,,
623,103159,0,,
624,125747.7,0,,
625,124508.6,0,,
626,137029.4,0,,
627,132820.6,0,,
628,144245.2,0,,
629,138415.1,0,,
630,148835.1,0,,
631,93289.1,0,,
632,76160.3,0,,
633,46432.5,4851.3,,
634,31263.6,4158.8,,
635,18143.8,3024.5,,
636,15749,7149.7,,
637,17887.1,9886.2,,
638,14749.2,11160.6,,
639,14932.9,8837,,
640,13613.9,8965.3,,
641,17874.6,11627.3,,
642,28449.2,13388.3,,
643,37123.7,93.1,,
644,40695.4,0,,
645,48684,0,,
646,51690.7,0,,
647,99073.7,0,,
648,120860.6,0,,
649,123323.3,0,,
650,138308.5,0,,
651,136102.5,0,,
652,149081.5,0,,
653,143766.1,0,,
654,155190.7,0,,
655,96183.2,0,,
656,78589.4,0,,
657,44478.5,0,,
658,30765.1,0,,
659,26136,0,,
660,24499.3,2586.4,,
661,23661.5,2008.4,,
662,20612.8,20.2,,
663,27405.2,0,,
664,31354.6,0,,
665,42117.8,0,,
666,52614.9,0,,
667,97614.7,0,,
668,120715.4,0,,
669,120510,0,,
670,135165.6,0,,
671,134485.1,0,,
672,150029.9,0,,
673,148352.7,0,,
674,164038.7,0,,
675,162326.1,0,,
676,177294.2,0,,
677,173917.1,0,,
678,188199,0,,
679,183483.5,0,,
680,191236.1,0,,
681,147560.3,0,,
682,121317.3,0,,
683,99285,0,,
684,103580.7,0,,
685,94526.9,1036.4,,
686,90660.2,2441.7,,
687,73497.9,830.3,,
688,74093.4,0,,
689,80432.7,0,,
690,122673.8,0,,
691,128484.9,0,,
692,146038.2,0,,
693,145910.2,0,,
694,161530,0,,
695,157522.6,0,,
696,171403.1,0,,
697,161761,0,,
698,175216.6,0,,
699,170120.3,0,,
700,184000.8,0,,
701,178111.2,0,,
702,190570.8,0,,
703,120598.4,0,,
704,93347.2,0,,
705,54084,2144.1,,
706,32958.4,716.6,,
707,22775.5,577.3,,
708,15881.7,3160.1,,
709,15469.4,6217.9,,
710,8217.8,8855.2,,
711,7519.4,6722.7,,
712,8261.1,6969.9,,
713,11452,9884.8,,
714,21768,12239.8,,
715,31493.7,44.6,,
716,36124.7,0,,
717,45149.6,0,,
718,50077.2,0,,
719,102033.9,0,,
720,129751.8,0,,
721,134138.9,0,,
722,152050.4,0,,
723,153794.5,0,,
724,168631.6,0,,
725,165113.8,0,,
726,176807.4,0,,
727,110112.8,0,,
728,86182.7,0,,
729,46267.8,4387.1,,
730,23670.6,3803.5,,
731,16894.6,3721.7,,
732,13987.9,5896.4,,
733,14444.2,15748.4,,
734,8202.9,25051.5,,
735,6870.7,23774.9,,
736,6797.8,18454.6,,
737,8051.2,14542.6,,
738,14438.4,14307.8,,
739,24174.4,125.3,,
740,28260.5,0,,
741,35408.6,0,,
742,38534.4,0,,
743,81066.5,0,,
744,101608.3,0,,
745,101142.3,0,,
746,112653.1,0,,
747,108530.3,0,,
748,119117.2,0,,
749,113858.4,0,,
750,123065,0,,
751,76651,0,,
752,60247.9,0,,
