,Zone0_P_htg,Zone0_P_clg,Zone0_P_cp,Zone0_mass_flow_rate,Zone1_P_htg,Zone1_P_clg,Zone1_P_cp,Zone1_mass_flow_rate,Zone2_P_htg,Zone2_P_clg,Zone2_P_cp,Zone2_mass_flow_rate,Zone3_P_htg,Zone3_P_clg,Zone3_P_cp,Zone3_mass_flow_rate,Zone4_P_htg,Zone4_P_clg,Zone4_P_cp,Zone4_mass_flow_rate,Zone5_P_htg,Zone5_P_clg,Zone5_P_cp,Zone5_mass_flow_rate,central_loop_P_cp,central_loop_mass_flow_rate,GHE0_P_cp,GHE0_mass_flow_rate,GHE1_P_cp,GHE1_mass_flow_rate,GHE2_P_cp,GHE2_mass_flow_rate
1,17760.034502342,674.3663614999995,1271.1941121355121,4.715323987269847,3209.731836436401,-0.0,137.8238483597949,0.4703399462173905,13626.139902354204,0.0,642.2112334464019,3.6527011422441538,91.38775131420003,-0.0,3.9241320524318275,0.013391557995627213,4022.53637616,0.0,119.85293714087588,1.0763476766615618,361.3688958682001,-0.0,15.516951086288103,0.0529534041186418,440.36583166122233,14.971586571760835,38.483187240859955,7.485793285880417,20.52436652845864,3.9924230858028893,17.95882071240131,3.493370200077528
2,18184.29166512746,608.4548222946306,1299.336476975179,4.8197143134365215,3306.426634538683,-0.0,142.4760828042967,0.4862162384879811,14708.768982497746,0.0,694.5829052567601,3.950575199065517,91.80708438503754,-0.0,3.953085195606056,0.01349036397126534,3951.8439606966185,0.0,118.12896265689075,1.0608654033462226,212.74772581096883,-0.0,9.155447814456583,0.031244032755537273,492.75149340391255,15.543158326594565,41.47762909842691,7.771579163297282,22.121402185827687,4.144842220425217,19.35622691259923,3.626736942872065
3,18760.80917284943,547.1097105432791,1335.0572700652274,4.952215802307366,3313.68115180477,-0.0,142.83069694176748,0.4874264005632014,14111.762570792716,0.0,666.7591637464296,3.792322264356034,94.88465645567022,-0.0,4.087405757538988,0.013948748544234897,4317.895294545114,0.0,129.1561855537113,1.159896149093162,96.53878288273276,-0.0,4.155970169235394,0.014182732590490287,501.05578713339025,15.629988146181734,41.94234220447539,7.814994073090867,22.369249175720206,4.167996838981796,19.573093028755174,3.6469972341090715
4,19144.13979454076,494.6604489094261,1357.8426579259449,5.036735141181897,3320.002060921888,-0.0,143.14182852762687,0.4884881733630554,15806.0009143589,0.0,747.0653172844559,4.249079112384703,92.68850732834484,-0.0,3.9934605295114523,0.013628149504056436,4491.828312295122,0.0,134.39768748370344,1.2069678234229522,96.6978947682114,-0.0,4.163707880807403,0.01420913843307802,590.9357381794803,16.51366130743461,46.81899942385372,8.256830653717305,24.970133026055315,4.403643015315896,21.848866397798403,3.853187638401409
5,19199.89837286318,627.146608997025,1372.6196463047738,5.091548396763489,3321.539467340578,-0.0,143.2341961722911,0.4888033887161356,14658.25466882626,0.0,693.0211542698338,3.9416924369511994,94.76973837071675,-0.0,4.084434501022616,0.013938608785065929,4447.259983609045,0.0,133.12227200225067,1.1955138655727053,214.123704797023,-0.0,9.222342838593361,0.031472319822174445,552.1793789918172,16.14445352491616,44.74887075104281,8.07222676245808,23.866064400556166,4.305187606644309,20.88280635048664,3.7670391558137704
6,19430.46036664993,634.0248350902838,1389.2164777598402,5.153112116045731,3323.763993062774,-0.0,143.34300192321996,0.48917470102274335,15927.98306523404,0.0,753.1529843600797,4.283703901430205,124.69981003515831,-0.0,5.374407904698779,0.018340793374506698,4230.098737607152,0.0,126.62992002633557,1.1372088450029418,1113.1272329924645,-0.0,47.94472136480209,0.16361694972600277,629.767898043103,16.867735959903193,48.848245574612875,8.433867979951597,26.052397639793533,4.498062922640852,22.79584793481934,3.9358050573107453
7,25492.182714491282,2309.592818861257,1939.1260029827163,7.192927711757978,3326.654489768506,-0.0,143.48476422463239,0.4896584813990386,14580.166319843855,0.0,689.5458655258974,3.921926057131772,95.42859923830494,-0.0,4.1137050247537115,0.014038497858845807,3844.341793074089,0.0,115.11434444268791,1.0337924138285364,3735.4813075113943,-0.0,160.91600015638681,0.5491446056671785,1018.9492328402397,19.80223165146502,67.32303021688571,9.90111582573251,35.90561611567238,5.280595107057339,31.417414101213335,4.620520718675172
8,19167.579966806756,3416.3790477747752,1590.3009531136092,5.8990079954015044,3330.6025054408747,-0.0,143.66730548457778,0.4902814247242101,14885.227647308266,0.0,704.1780797072627,4.005149617652525,93.39689286981478,-0.0,4.025436732763832,0.013737272024555927,3625.4196557357654,0.0,108.55595481353622,0.9748943374995318,3966.586630089892,-0.0,170.85072796831398,0.5830480222409776,758.8288433382523,17.949178004314955,55.3126557682918,8.974589002157478,29.500083076422293,4.786447467817322,25.812572691869505,4.188141534340156
9,18201.54048129422,3430.3920709777776,1524.7347889036298,5.655799107080574,4399.300696434794,-0.0,189.6315324235799,0.6471397063909459,9131.548203981374,0.0,431.84156854407365,2.4561828079905292,92.1632833482017,-0.0,3.9719135574883366,0.013554617950677928,3442.23585031652,0.0,103.05964415395133,0.9255343355689927,3808.6713025621552,-0.0,164.0400849871896,0.559805909271635,478.05084659976524,15.38702472638003,40.64851510257728,7.693512363190015,21.67920805470789,4.1032065937013416,18.969307047869403,3.590305769488674
10,14493.326679579117,4424.01932587406,1345.8075805683895,4.992092636617905,5474.005879592296,-0.0,235.91775432515075,0.8050968333967081,7697.648454705739,0.0,363.9676016285301,2.070136436377599,95.14872291667858,-0.0,4.098260285942488,0.01398579088753233,3242.3922658684014,0.0,97.01368496951348,0.8712381766545786,3330.653137743328,-0.0,143.40031571966892,0.4893702910331815,349.5992977503499,13.862880247451255,32.99455879504785,6.931440123725627,17.59709802402552,3.6967680659870013,15.39746077102233,3.234672057738626
