Zone1_Time,Zone1_q_htg,Zone1_q_clg,Zone2_Time,Zone2_q_htg,Zone2_q_clg,Zone3_Time,Zone3_q_htg,Zone3_q_clg,Zone4_Time,Zone4_q_htg,Zone4_q_clg,Zone5_Time,Zone5_q_htg,Zone5_q_clg,Zone6_Time,Zone6_q_htg,Zone6_q_clg
10.296961826634153,121863.79999999999,82563.8351404781,10.296961826634153,20713.458785352104,0.0,10.296961826634153,36165.45619295915,4008.3855056607845,10.296961826634153,948.5553253157816,0.0,10.296961826634153,20572.079661679876,5.038537815281123,10.296961826634153,8465.967899781557,0.0
10.296961826634153,121863.79999999999,82563.8351404781,10.296961826634153,20713.458785352104,0.0,10.296961826634153,36165.45619295915,4008.3855056607845,10.296961826634153,948.5553253157816,0.0,10.296961826634153,20572.079661679876,841.7,10.296961826634153,8465.967899781557,0.0
13.0,121863.79999999999,82563.8351404781,13.0,20713.458785352104,0.0,13.0,36165.45619295915,4008.3855056607845,13.0,948.5553253157816,0.0,13.0,20572.079661679876,841.7,13.0,8465.967899781557,0.0
13.0,121863.79999999999,82563.8351404781,13.0,20713.458785352104,0.0,13.0,36165.45619295915,4008.3855056607845,13.0,948.5553253157816,0.0,13.0,20572.079661679876,5.038537815281123,13.0,8465.967899781557,0.0
15.941414748142632,121863.79999999999,82563.8351404781,15.941414748142632,20713.458785352104,0.0,15.941414748142632,36165.45619295915,4008.3855056607845,15.941414748142632,948.5553253157816,0.0,15.941414748142632,20572.079661679876,5.038537815281123,15.941414748142632,8465.967899781557,0.0
15.941414748142632,18344.13474224755,82563.8351404781,15.941414748142632,20713.458785352104,0.0,15.941414748142632,36165.45619295915,4008.3855056607845,15.941414748142632,948.5553253157816,0.0,15.941414748142632,20572.079661679876,5.038537815281123,15.941414748142632,8465.967899781557,0.0
131.74132388845908,18344.13474224755,82563.8351404781,131.74132388845908,20713.458785352104,0.0,131.74132388845908,36165.45619295915,4008.3855056607845,131.74132388845908,948.5553253157816,0.0,131.74132388845908,20572.079661679876,5.038537815281123,131.74132388845908,8465.967899781557,0.0
131.74132388845908,18344.13474224755,82563.8351404781,131.74132388845908,20713.458785352104,0.0,131.74132388845908,36165.45619295915,38473.8,131.74132388845908,948.5553253157816,0.0,131.74132388845908,20572.079661679876,5.038537815281123,131.74132388845908,8465.967899781557,0.0
134.2586761115409,18344.13474224755,82563.8351404781,134.2586761115409,20713.458785352104,0.0,134.2586761115409,36165.45619295915,38473.8,134.2586761115409,948.5553253157816,0.0,134.2586761115409,20572.079661679876,5.038537815281123,134.2586761115409,8465.967899781557,0.0
134.2586761115409,18344.13474224755,82563.8351404781,134.2586761115409,20713.458785352104,0.0,134.2586761115409,36165.45619295915,4008.3855056607845,134.2586761115409,948.5553253157816,0.0,134.2586761115409,20572.079661679876,5.038537815281123,134.2586761115409,8465.967899781557,0.0
