,Zone0_EFT[C],Zone1_EFT[C],Zone2_EFT[C],Zone3_EFT[C],Zone4_EFT[C],Zone5_EFT[C],GHE0_EFT[C],GHE0_MFT[C],GHE0_q_ghe[W/m],GHE0_ExFT[C],GHE1_EFT[C],GHE1_MFT[C],GHE1_q_ghe[W/m],GHE1_ExFT[C],GHE2_EFT[C],GHE2_MFT[C],GHE2_q_ghe[W/m],GHE2_ExFT[C]
28,12.481327,11.491420,12.667163,11.674410,12.304024,12.000795,11.355323,12.667163,-6.209226,13.979002,11.670175,12.858641,-5.625272,14.047107,11.996785,13.035090,-4.914523,14.073394
29,12.459113,11.553000,12.685772,11.683697,12.306776,11.977988,11.410743,12.685772,-5.774337,13.960801,11.679127,12.855970,-5.329671,14.032812,11.968725,13.019557,-4.758997,14.070389
30,12.406561,11.712813,12.747762,11.633206,12.273205,11.944214,11.566124,12.747762,-5.190067,13.929400,11.627205,12.838455,-5.320129,14.049705,11.894558,12.991707,-4.818973,14.088857
31,12.655450,12.658466,13.100691,12.368255,12.759206,12.423775,12.500945,13.100691,-2.464633,13.700437,12.362214,13.106575,-3.058923,13.850936,12.245411,13.124066,-3.610795,14.002720
32,12.956282,13.937334,13.565323,13.005073,13.195071,12.857784,13.661083,13.565323,0.383483,13.469563,12.992675,13.372168,-1.519726,13.751661,12.662847,13.291637,-2.518067,13.920427
33,13.378950,14.916524,13.953762,13.891148,13.792014,13.452235,14.542027,13.953762,2.128970,13.365497,13.867980,13.725543,0.515487,13.583107,13.244452,13.532662,-1.043052,13.820873
34,13.612645,15.454654,14.223168,14.214966,14.046023,13.729313,15.028001,14.223168,2.913350,13.418336,14.189906,13.920125,0.976559,13.650344,13.546919,13.687760,-0.509820,13.828602
35,13.750318,15.706377,14.379412,14.401768,14.202388,13.878531,15.208098,14.379412,3.035282,13.550726,14.376391,14.050135,1.195000,13.723879,13.715036,13.790641,-0.276925,13.866246
36,13.916726,16.014749,14.549041,14.629560,14.374807,14.061338,15.502544,14.549041,3.575149,13.595537,14.600186,14.177600,1.584482,13.755013,13.932439,13.898768,0.126248,13.865098
37,14.089896,16.381025,14.759986,14.885542,14.561616,14.271165,15.941517,14.759986,4.481392,13.578455,14.850929,14.308467,2.057488,13.766005,14.159951,14.009834,0.569375,13.859717
38,14.250410,16.680522,14.923295,15.107450,14.733696,14.463433,16.186279,14.923295,4.921321,13.660312,15.075254,14.434833,2.495453,13.794412,14.367020,14.117142,0.973670,13.867264
39,14.361743,16.989533,15.096216,15.247018,14.855005,14.588367,16.517379,15.096216,5.522221,13.675054,15.225550,14.530779,2.699676,13.836008,14.503603,14.199618,1.181195,13.895634
40,14.453512,17.182597,15.246399,15.389021,14.971443,14.708009,16.743260,15.246399,5.937021,13.749538,15.368725,14.623821,2.954520,13.878918,14.613188,14.271025,1.357128,13.928861
41,14.576249,17.376536,15.409045,15.591706,15.122708,14.877018,17.010750,15.409045,6.507398,13.807340,15.566082,14.734757,3.377503,13.903431,14.769093,14.355857,1.678894,13.942620
42,14.689967,17.570301,15.589931,15.767623,15.267162,15.051145,17.334970,15.589931,7.204372,13.844892,15.751608,14.843271,3.750059,13.934934,14.910981,14.437381,1.955254,13.963780
43,14.138110,16.196526,15.063453,14.809901,14.646764,14.336556,15.901845,15.063453,2.265871,14.225060,14.789450,14.521913,0.723057,14.254375,14.085851,14.197835,-0.302650,14.309818
44,14.058941,16.168742,14.984016,14.676331,14.543540,14.222224,15.886585,14.984016,2.544063,14.081446,14.661349,14.440458,0.622625,14.219566,13.992960,14.134347,-0.398527,14.275735
45,13.756665,14.753077,14.575234,14.091205,14.177065,13.781509,14.417813,14.575234,-0.371399,14.732655,14.071687,14.269270,-0.466153,14.466854,13.531065,14.014494,-1.140541,14.497923
46,13.674505,14.545559,14.435715,13.921270,14.058718,13.637619,14.246296,14.435715,-0.423474,14.625134,13.909201,14.189545,-0.626750,14.469889,13.421855,13.963248,-1.210362,14.504640
47,13.458197,13.731302,14.181568,13.291279,13.661819,13.276494,13.486066,14.181568,-1.846616,14.877069,13.283386,13.992947,-1.883944,14.702507,13.118341,13.846604,-1.933603,14.574868
48,13.333068,13.365777,13.999576,12.982190,13.438688,13.042775,13.138664,13.999576,-2.463978,14.860488,12.975117,13.844312,-2.487684,14.713507,12.960786,13.758533,-2.283200,14.556281
49,13.286195,13.181078,13.889045,12.894268,13.361203,12.933399,12.948541,13.889045,-2.630877,14.829548,12.886854,13.776258,-2.487935,14.665662,12.907293,13.719227,-2.271228,14.531161
50,13.215248,13.003526,13.785732,12.739592,13.245296,12.833080,12.778232,13.785732,-2.906807,14.793232,12.732567,13.693933,-2.773701,14.655298,12.818456,13.668725,-2.453171,14.518995
51,13.189979,12.874062,13.714813,12.717596,13.219023,12.795330,12.640942,13.714813,-2.989950,14.788684,12.710154,13.664284,-2.656556,14.618413,12.788481,13.648834,-2.395456,14.509186
52,13.128557,12.741664,13.636263,12.587703,13.124485,12.716658,12.516896,13.636263,-3.230255,14.755629,12.580674,13.600318,-2.942477,14.619962,12.710054,13.606846,-2.587953,14.503638
53,13.172149,13.150107,13.709639,12.741794,13.204061,12.803398,12.926468,13.709639,-2.275916,14.492809,12.734674,13.614775,-2.557601,14.494877,12.788881,13.610170,-2.386687,14.431458
54,13.150709,13.407240,13.774510,12.760127,13.205035,12.839882,13.191726,13.774510,-1.760094,14.357293,12.751360,13.602001,-2.569061,14.452641,12.767216,13.588987,-2.481872,14.410759
55,13.487985,15.015348,14.255882,13.740654,13.800371,13.508853,14.824749,14.255882,1.958157,13.687015,13.733359,13.859005,-0.432500,13.984652,13.294398,13.709229,-1.427934,14.124059
56,13.809646,16.172556,14.715700,14.355901,14.213736,13.964739,15.879986,14.715700,4.452553,13.551414,14.342813,14.100793,0.925551,13.858773,13.759153,13.867351,-0.413779,13.975549
57,14.141543,16.824858,15.015102,15.048534,14.681326,14.421296,16.459928,15.015102,5.418100,13.570275,15.026026,14.379714,2.423673,13.733401,14.219489,14.052462,0.626354,13.885434
58,14.322429,17.162549,15.216122,15.298661,14.882262,14.625044,16.752442,15.216122,5.835339,13.679801,15.274622,14.538947,2.794283,13.803272,14.450175,14.176434,1.039735,13.902694
59,14.461615,17.389419,15.361593,15.452951,15.015450,14.777642,16.918141,15.361593,6.079417,13.805045,15.428996,14.653597,3.028481,13.878198,14.623397,14.276723,1.354006,13.930049
60,14.624107,17.613524,15.511148,15.656042,15.173022,14.952945,17.133067,15.511148,6.537123,13.889228,15.628601,14.774390,3.442883,13.920180,14.832322,14.386147,1.798303,13.939971
