,Zone0_P_htg,Zone0_P_clg,Zone0_P_cp,Zone1_P_htg,Zone1_P_clg,Zone1_P_cp,Zone2_P_htg,Zone2_P_clg,Zone2_P_cp,Zone3_P_htg,Zone3_P_clg,Zone3_P_cp,Zone4_P_htg,Zone4_P_clg,Zone4_P_cp,Zone5_P_htg,Zone5_P_clg,Zone5_P_cp,central_loop_P_cp,GHE0_P_cp,GHE1_P_cp,GHE2_P_cp
1,26442.721200676697,659.4465653999997,1921.8858006682904,4323.787416784401,-0.0,189.47372931682747,24090.447081230395,0.0,1156.164084942896,115.31476893060004,-0.0,5.0532362506476325,9012.644121039999,0.0,275.15456066158345,487.07998137740014,-0.0,21.34444912552664,747.9776062506371,121.54362488315884,64.8232666043514,56.72035827880746
2,26697.052235415238,602.9789219539975,1939.8679319212142,4423.562439406032,-0.0,194.9517714860071,26835.633465668867,0.0,1292.0883694656525,115.96539409734321,-0.0,5.13211803664454,9104.12485668853,0.0,280.1206315599333,286.92242779473423,-0.0,12.716745129806716,870.0217777131218,134.42907278952774,71.69550548774814,62.7335673017796
3,27190.5228916578,552.1764380134862,1972.2747140016413,4434.077453207802,-0.0,195.5704031095635,24812.871519725628,0.0,1195.1604629288481,120.33633265561822,-0.0,5.330654217281486,9292.61319407826,0.0,286.12353903622693,121.80574335458228,-0.0,5.403249600374484,812.7258425832586,128.4603695276573,68.51219708141723,59.94817244624007
4,27615.283294611094,507.0635410661403,1999.4431043044824,4442.126332641283,-0.0,196.05590387858012,27219.94683787597,0.0,1311.5468184582357,116.72389932975241,-0.0,5.173265577296128,9408.880514899658,0.0,289.8128222482429,122.02832546799712,-0.0,5.416272579720766,929.6958334510113,140.50778163374244,74.93748353799596,65.57029809574648
5,27768.71576191273,636.0908728395583,2022.6794214026283,4450.9440777380405,-0.0,196.53379949980427,25129.780560610583,0.0,1211.094825511072,120.40409746099081,-0.0,5.3398244827489485,9409.51924014994,0.0,289.9702524440812,288.7892305906624,-0.0,12.825890117114342,861.4577292534442,133.54545189263038,71.22424100940287,62.32121088322751
6,27953.60823250397,646.5823225782492,2037.2219014032942,4458.512086980585,-0.0,196.9299650970067,27525.61957854393,0.0,1326.7748367278919,161.3367188883943,-0.0,7.1561236475470285,9171.548131121015,0.0,282.66507278257944,1566.4318750400373,-0.0,69.58146541086731,991.0103924793565,146.61956496955548,78.19710131709626,68.42246365245923
7,33690.63007284689,2189.1185709958263,2579.5238438475626,4461.866703059859,-0.0,197.12507856362677,25363.963738264425,0.0,1222.710497746376,121.95262284268898,-0.0,5.411425402171323,8726.8639235993,0.0,269.04064123823383,5292.926145211772,-0.0,235.18812185097087,1318.9705740891468,177.40391178699113,94.61541961972858,82.78849216726252
8,26900.689720096103,3098.329903957147,2178.630311776044,4462.285642750524,-0.0,197.19564248855056,27690.217245192645,0.0,1334.996580922182,116.80628811615742,-0.0,5.180901992662128,8590.576688737645,0.0,264.756872534378,5615.777598415832,-0.0,249.3789696538355,1163.0736872914758,163.13404608381418,87.00482457803423,76.12922150577998
9,25594.09410009223,3065.8094943757646,2082.9368433111345,5906.459360716566,-0.0,260.723865036982,24178.185530809307,0.0,1165.0381766208582,120.54712215909318,-0.0,5.342891044922207,8875.557056540878,0.0,273.3916757398318,5381.709476335133,-0.0,238.81262230056578,983.8926897565184,145.91668117970008,77.82222996250671,68.09445121719337
10,21608.744734944834,3638.466225180643,1850.2533027549132,7359.807028290328,-0.0,324.8434289242102,24295.00285857833,0.0,1170.7107874723429,116.66474387073376,-0.0,5.169828402819758,8741.25527772083,0.0,269.2170525504255,4716.131537265663,-0.0,209.260766969784,869.0589240977952,134.3298726635812,71.64259875391,62.68727390967122
